📡央视频道,#genre#
CCTV-1(高清),http://192.168.11.1:4000/rtp/239.255.30.101:8231
CCTV-2高清,http://192.168.11.1:4000/rtp/239.255.30.179:8231
CCTV-3高清,http://192.168.11.1:4000/rtp/239.255.29.12:8231
CCTV-4高清,http://192.168.11.1:4000/rtp/239.255.30.83:8231
CCTV-5高清,http://192.168.11.1:4000/rtp/239.255.29.13:8231
CCTV-6高清,http://192.168.11.1:4000/rtp/239.255.29.14:8231
CCTV-7HD,http://192.168.11.1:4000/rtp/239.255.30.178:8231
CCTV-8高清,http://192.168.11.1:4000/rtp/239.255.29.15:8231
CCTV-9高清,http://192.168.11.1:4000/rtp/239.255.30.180:8231
CCTV-10高清,http://192.168.11.1:4000/rtp/239.255.30.181:8231
CCTV-11高清,http://192.168.11.1:4000/rtp/239.255.30.62:8231
CCTV-12高清,http://192.168.11.1:4000/rtp/239.255.30.182:8231
CCTV-13高清,http://192.168.11.1:4000/rtp/239.255.29.28:8231
CCTV-14高清,http://192.168.11.1:4000/rtp/239.255.30.183:8231
CCTV-15高清,http://192.168.11.1:4000/rtp/239.255.30.68:8231
CCTV-16高清,http://192.168.11.1:4000/rtp/239.255.30.88:8231
CCTV-17高清,http://192.168.11.1:4000/rtp/239.255.30.96:8231
CCTV-5＋高清,http://192.168.11.1:4000/rtp/239.255.30.184:8231
爱体育高清,http://192.168.11.1:4000/rtp/239.255.30.115:8231
📡卫视频道,#genre#
重庆卫视,http://192.168.11.1:4000/rtp/239.255.30.23:8231
四川卫视,http://192.168.11.1:4000/rtp/239.255.30.24:8231
陕西卫视,http://192.168.11.1:4000/rtp/239.255.30.25:8231
河南卫视,http://192.168.11.1:4000/rtp/239.255.30.26:8231
天津卫视,http://192.168.11.1:4000/rtp/239.255.30.27:8231
辽宁卫视,http://192.168.11.1:4000/rtp/239.255.30.28:8231
吉林卫视,http://192.168.11.1:4000/rtp/239.255.30.29:8231
黑龙江卫视,http://192.168.11.1:4000/rtp/239.255.30.30:8231
东南卫视,http://192.168.11.1:4000/rtp/239.255.30.31:8231
广东卫视,http://192.168.11.1:4000/rtp/239.255.30.32:8231
广西卫视,http://192.168.11.1:4000/rtp/239.255.30.33:8231
云南卫视,http://192.168.11.1:4000/rtp/239.255.30.34:8231
贵州卫视,http://192.168.11.1:4000/rtp/239.255.30.35:8231
海南卫视,http://192.168.11.1:4000/rtp/239.255.30.36:8231
北京卫视,http://192.168.11.1:4000/rtp/239.255.30.13:8231
金鹰卡通,http://192.168.11.1:4000/rtp/239.255.30.38:8231
卡酷卡通,http://192.168.11.1:4000/rtp/239.255.30.39:8231
深圳卫视,http://192.168.11.1:4000/rtp/239.255.30.40:8231
青海卫视,http://192.168.11.1:4000/rtp/239.255.30.41:8231
西藏卫视,http://192.168.11.1:4000/rtp/239.255.30.42:8231
内蒙古卫视,http://192.168.11.1:4000/rtp/239.255.30.43:8231
新疆卫视,http://192.168.11.1:4000/rtp/239.255.30.44:8231
中国教育-1,http://192.168.11.1:4000/rtp/239.255.30.45:8231
中国教育-2,http://192.168.11.1:4000/rtp/239.255.30.46:8231
三沙卫视,http://192.168.11.1:4000/rtp/239.255.29.27:8231
宁夏卫视,http://192.168.11.1:4000/rtp/239.255.30.48:8231
东方卫视,http://192.168.11.1:4000/rtp/239.255.30.14:8231
江苏卫视,http://192.168.11.1:4000/rtp/239.255.30.15:8231
浙江卫视,http://192.168.11.1:4000/rtp/239.255.30.16:8231
安徽卫视,http://192.168.11.1:4000/rtp/239.255.30.17:8231
山东卫视,http://192.168.11.1:4000/rtp/239.255.30.18:8231
山西卫视,http://192.168.11.1:4000/rtp/239.255.30.19:8231
湖南卫视,http://192.168.11.1:4000/rtp/239.255.30.20:8231
湖北卫视,http://192.168.11.1:4000/rtp/239.255.30.21:8231
江西卫视,http://192.168.11.1:4000/rtp/239.255.30.22:8231
河北卫视,http://192.168.11.1:4000/rtp/239.255.30.240:8231
厦门卫视,http://192.168.11.1:4000/rtp/239.255.30.241:8231
兵团卫视,http://192.168.11.1:4000/rtp/239.255.30.242:8231
哈哈炫动,http://192.168.11.1:4000/rtp/239.255.30.37:8231
农林卫视,http://192.168.11.1:4000/rtp/239.255.30.79:8231
凤凰卫视,http://192.168.11.1:4000/rtp/239.255.30.50:8231
凤凰卫视,http://192.168.11.1:4000/rtp/239.255.30.70:8231
凤凰卫视,http://192.168.11.1:4000/rtp/239.255.30.158:8231
香港卫视,http://192.168.11.1:4000/rtp/239.255.30.123:8231
东方卫视(高清),http://192.168.11.1:4000/rtp/239.255.30.130:8231
湖南卫视HD,http://192.168.11.1:4000/rtp/239.255.30.136:8231
江苏卫视(高清),http://192.168.11.1:4000/rtp/239.255.30.131:8231
浙江卫视(高清),http://192.168.11.1:4000/rtp/239.255.30.132:8231
北京卫视HD,http://192.168.11.1:4000/rtp/239.255.30.133:8231
广东卫视HD,http://192.168.11.1:4000/rtp/239.255.30.134:8231
深圳卫视HD,http://192.168.11.1:4000/rtp/239.255.30.135:8231
黑龙江卫视HD,http://192.168.11.1:4000/rtp/239.255.30.137:8231
湖北卫视HD,http://192.168.11.1:4000/rtp/239.255.30.138:8231
山东卫视HD,http://192.168.11.1:4000/rtp/239.255.30.139:8231
天津卫视HD,http://192.168.11.1:4000/rtp/239.255.30.67:8231
辽宁卫视HD,http://192.168.11.1:4000/rtp/239.255.30.69:8231
江西卫视HD,http://192.168.11.1:4000/rtp/239.255.30.71:8231
贵州卫视HD,http://192.168.11.1:4000/rtp/239.255.30.98:8231
吉林卫视高清,http://192.168.11.1:4000/rtp/239.255.29.5:8231
热门综艺HD,http://192.168.11.1:4000/rtp/239.255.30.116:8231
戏曲精选HD,http://192.168.11.1:4000/rtp/239.255.30.118:8231
电竞天堂HD,http://192.168.11.1:4000/rtp/239.255.30.128:8231
汽车世界HD,http://192.168.11.1:4000/rtp/239.255.30.149:8231
宝宝动画HD,http://192.168.11.1:4000/rtp/239.255.30.151:8231
青春动漫HD,http://192.168.11.1:4000/rtp/239.255.30.150:8231
百变课堂HD,http://192.168.11.1:4000/rtp/239.255.30.160:8231
热门剧场HD,http://192.168.11.1:4000/rtp/239.255.30.100:8231
谍战剧场HD,http://192.168.11.1:4000/rtp/239.255.30.166:8231
华语影院HD,http://192.168.11.1:4000/rtp/239.255.30.193:8231
星光影院HD,http://192.168.11.1:4000/rtp/239.255.30.194:8231
全球大片HD,http://192.168.11.1:4000/rtp/239.255.30.196:8231
健康养生HD,http://192.168.11.1:4000/rtp/239.255.30.197:8231
看天下精选HD,http://192.168.11.1:4000/rtp/239.255.30.217:8231
海南卫视HD,http://192.168.11.1:4000/rtp/239.255.30.99:8231
安徽卫视HD,http://192.168.11.1:4000/rtp/239.255.30.84:8231
河北卫视HD,http://192.168.11.1:4000/rtp/239.255.30.85:8231
东南卫视HD,http://192.168.11.1:4000/rtp/239.255.30.86:8231
四川卫视HD,http://192.168.11.1:4000/rtp/239.255.30.91:8231
重庆卫视HD,http://192.168.11.1:4000/rtp/239.255.30.89:8231
中国教育-1HD,http://192.168.11.1:4000/rtp/239.255.30.90:8231
纪实人文HD,http://192.168.11.1:4000/rtp/239.255.30.176:8231
动漫秀场HD,http://192.168.11.1:4000/rtp/239.255.29.16:8231
全纪实HD,http://192.168.11.1:4000/rtp/239.255.29.17:8231
生活时尚HD,http://192.168.11.1:4000/rtp/239.255.29.18:8231
欢笑剧场HD,http://192.168.11.1:4000/rtp/239.255.29.19:8231
游戏风云HD,http://192.168.11.1:4000/rtp/239.255.29.20:8231
